,lr_feature_true,beta_safe_true,beta_pred_true,rew_change_true,pred_change_true,cf_lr_true,beta_irf_REW,beta_irf_PRED,beta_stick,lr_feature_sim,beta_safe_sim,beta_pred_sim,rew_change_sim,pred_change_sim,cf_lr_sim,beta_irf_REW_sim,beta_irf_PRED_sim,beta_stick_sim
lr_feature_true,1,-0.044282889,-0.073334753,-0.004904052,0.107588373,0.049008577,-0.036508489,0.046978357,0.055940287,0.7208853,0.115553127,-0.02696542,-0.116199059,0.022143587,-0.045706923,0.094152196,-0.12866545,0.038793435
beta_safe_true,-0.044282889,1,-0.013466134,0.03753498,-0.01068347,-0.031264773,-0.007650144,0.048101563,-0.146625255,0.001214222,0.674740892,-0.040215798,-0.038334038,0.020343579,-0.022991163,0.436305812,0.049963573,-0.095337925
beta_pred_true,-0.073334753,-0.013466134,1,-0.073997514,0.106806947,-0.108559908,0.200707957,0.06392373,0.025533007,-0.038119532,-0.064260882,0.735488246,0.17097692,-0.063271835,-0.077354321,-0.061910953,0.49600293,0.107153103
rew_change_true,-0.004904052,0.03753498,-0.073997514,1,0.00022674,0.033770587,-0.101932377,-0.065097683,0.076368808,0.026910374,0.016241642,-0.073351548,0.354619378,-0.038027244,0.011676745,0.075347624,-0.124036166,0.144859629
pred_change_true,0.107588373,-0.01068347,0.106806947,0.00022674,1,-0.034648687,0.024265426,-0.123081038,-0.128329134,0.124596414,0.04061273,0.021407302,0.092121652,0.571085128,-0.116479125,-0.095491363,-0.039767165,-0.113156761
cf_lr_true,0.049008577,-0.031264773,-0.108559908,0.033770587,-0.034648687,1,0.057000256,0.07539246,-0.116364715,0.012112775,0.063547015,-0.076818926,0.124806068,-0.125991452,0.749944957,0.099425055,-0.057624183,-0.124263663
beta_irf_REW,-0.036508489,-0.007650144,0.200707957,-0.101932377,0.024265426,0.057000256,1,-0.050325502,0.046613733,-0.057499816,0.035341881,0.194866346,-0.033829112,0.031564107,0.018992751,-0.124487025,0.128852817,-0.024159024
beta_irf_PRED,0.046978357,0.048101563,0.06392373,-0.065097683,-0.123081038,0.07539246,-0.050325502,1,0.128220501,-0.002884025,0.047554092,0.036212338,0.02199084,-0.131062133,0.116542634,0.082587827,0.050366415,0.119463708
beta_stick,0.055940287,-0.146625255,0.025533007,0.076368808,-0.128329134,-0.116364715,0.046613733,0.128220501,1,0.06736781,-0.019595406,0.047417846,0.103848677,-0.077211627,-0.107321416,-0.033609606,0.103860203,0.907014626
lr_feature_sim,0.7208853,0.001214222,-0.038119532,0.026910374,0.124596414,0.012112775,-0.057499816,-0.002884025,0.06736781,1,0.130932766,-0.035414042,-0.084870702,0.029140576,-0.020785998,0.116062238,-0.138581529,0.046069348
beta_safe_sim,0.115553127,0.674740892,-0.064260882,0.016241642,0.04061273,0.063547015,0.035341881,0.047554092,-0.019595406,0.130932766,1,-0.052272386,-0.027352303,0.106804737,0.025934097,0.43568215,-0.044213609,0.000590486
beta_pred_sim,-0.02696542,-0.040215798,0.735488246,-0.073351548,0.021407302,-0.076818926,0.194866346,0.036212338,0.047417846,-0.035414042,-0.052272386,1,0.17322077,-0.150678443,-0.074005246,-0.079465579,0.460914973,0.107724265
rew_change_sim,-0.116199059,-0.038334038,0.17097692,0.354619378,0.092121652,0.124806068,-0.033829112,0.02199084,0.103848677,-0.084870702,-0.027352303,0.17322077,1,0.006172459,0.117093348,0.028248337,0.115983495,0.163609215
pred_change_sim,0.022143587,0.020343579,-0.063271835,-0.038027244,0.571085128,-0.125991452,0.031564107,-0.131062133,-0.077211627,0.029140576,0.106804737,-0.150678443,0.006172459,1,-0.147010959,-0.042588285,-0.012894334,-0.072731695
cf_lr_sim,-0.045706923,-0.022991163,-0.077354321,0.011676745,-0.116479125,0.749944957,0.018992751,0.116542634,-0.107321416,-0.020785998,0.025934097,-0.074005246,0.117093348,-0.147010959,1,0.016091177,-0.027392959,-0.116782374
beta_irf_REW_sim,0.094152196,0.436305812,-0.061910953,0.075347624,-0.095491363,0.099425055,-0.124487025,0.082587827,-0.033609606,0.116062238,0.43568215,-0.079465579,0.028248337,-0.042588285,0.016091177,1,-0.075761867,-0.052214575
beta_irf_PRED_sim,-0.12866545,0.049963573,0.49600293,-0.124036166,-0.039767165,-0.057624183,0.128852817,0.050366415,0.103860203,-0.138581529,-0.044213609,0.460914973,0.115983495,-0.012894334,-0.027392959,-0.075761867,1,0.114399626
beta_stick_sim,0.038793435,-0.095337925,0.107153103,0.144859629,-0.113156761,-0.124263663,-0.024159024,0.119463708,0.907014626,0.046069348,0.000590486,0.107724265,0.163609215,-0.072731695,-0.116782374,-0.052214575,0.114399626,1