Column_Name,lr value,MF,lr feature,MB reward,MB punish,Ch reward,Ch punish,lr cf,GP reward,GP punish,AP
lr value,0.466215786,0.445047976,0.107527713,-0.023788674,-0.02481902,-0.03706491,-0.015468424,-0.180402641,-0.122536233,-0.026494526,-0.065031622
MF,0.280176961,0.812677631,0.10075498,-0.060955283,-0.157676328,-0.04331717,0.014719769,-0.08922943,-0.014433978,-0.059897685,0.071492664
lr feature,-0.035376761,0.045168605,0.866873362,0.051720458,-0.049362739,0.03653927,0.106925092,0.006436214,-0.041704602,0.004131467,-0.034615194
MB reward,-0.076457642,0.045641881,0.072517572,0.76193546,0.002633893,0.024655391,-0.030848984,0.117671199,0.126138135,-0.109211292,0.023127139
MB punish,0.067561243,-0.059610239,-0.028658729,0.001858706,0.914135722,-0.041849796,0.071127079,-0.044681028,-0.028388262,-0.079391714,0.158167216
Ch reward,-0.016657074,-0.041930697,0.001058942,0.008243808,-0.114219108,0.578517779,-0.044680451,0.179484092,-0.016191592,0.01602452,0.079003458
Ch punish,-0.1462446,0.041437012,0.120392387,-0.040320798,0.006670124,0.090740492,0.694218785,-0.12906131,0.005175068,0.048010404,0.107304196
lr cf,0.037801748,-0.101774726,0.007579238,-0.011900351,-0.045687712,0.159950101,0.007788466,0.901892019,0.028478883,0.047352784,0.018144955
GP reward,-0.063445531,0.032816261,-0.042506365,-0.01602773,-0.044935124,-0.050641819,-0.046006403,0.069335332,0.807389356,-0.045399827,-0.046769377
GP punish,0.010832038,0.01700759,-0.034186109,-0.095025006,-0.126738571,-0.034830096,0.05509408,-0.02724828,0.060233074,0.800005338,0.032284325
AP,0.143930326,-0.0268878,-0.080113798,-0.029848922,0.118336447,0.09930718,0.025347112,0.011715028,0.050554793,0.051415469,0.898391166